"431234,12.04,21.96,6.3141,41.2,51.225,21.125,1017.324,0,249.1,152.1"
"431235,12.04,21.96,6.3141,60.7,53.025,21.175,1017.075,0,249.1,171.6"
"431236,12.04,21.96,6.6379,49.8,51.425,21.125,1017.075,0,251.1,158.7"
"431237,12.04,21.96,4.6951,83,52.05,20.925,1017.075,0,249.5,193.5"
"431238,12.04,21.96,8.2569,49.5,51.65,21.075,1017.075,0,249.8,159.7"
"431239,12.04,21.97,6.9617,41.2,51.9,21.025,1017.324,0,249.7,151.5"
"431240,12.04,21.98,6.9617,75.6,51.8,21.2,1017.075,0,250,185.6"
"431241,12.04,22,8.2569,40.9,52.775,21.225,1017.075,0,249.7,151.2"
"431242,12.04,22.01,7.2855,64,53.425,21.175,1017.075,0,250.2,173.8"
"431243,12.04,22.02,6.9617,47.6,52.2,21.15,1017.075,0,249.5,158.1"
"431244,12.04,22.03,8.5807,65.2,53.1,21.025,1017.075,0,249.1,176.1"
"431245,12.03,22.04,4.0475,53.7,52.35,21.05,1017.075,0,250.2,163.5"
"431246,12.02,22.05,5.3427,43.6,52.925,21.1,1017.075,0,250,153.6"
"431247,12.03,22.07,3.3999,52.9,53.7,21.175,1017.075,0,250,162.9"
"431248,12.04,22.08,1.1333,19.6,53.425,21.35,1017.075,0,247.6,132"
"431249,12.03,22.08,6.6379,23.9,53,21.45,1017.075,0,249.7,134.2"
"431250,12.03,22.09,4.0475,29.4,53.9,21.4,1017.324,0,250.7,138.7"
"431251,12.03,22.09,5.3427,51.8,53.175,21.45,1017.075,0,249.5,162.3"
"431252,12.05,22.1,5.6665,27.1,51.9,21.5,1017.075,0,249,138.1"
"431253,12.04,22.1,6.3141,36.1,49.8,21.425,1017.075,0,250.2,145.9"
"431254,12.02,22.11,5.9903,357.4,49.25,21.525,1017.324,0,250.5,106.9"
"431255,12.03,22.12,4.6951,353.6,49.5,21.675,1017.075,0,249,104.6"
"431256,12.03,22.12,9.2283,20.1,49.15,21.7,1017.324,0,248.6,131.5"
"431257,12.03,22.12,4.3713,18.8,48.325,21.75,1017.324,0,248.3,130.5"
"431258,12.03,22.13,5.9903,19.3,46.55,21.825,1017.324,0,248.4,130.9"
"431259,12.03,22.13,12.4663,353.2,47.725,21.725,1017.075,0,248.8,104.4"
"431260,12.01,22.14,9.8759,21,47.275,21.625,1017.075,0,248.8,132.2"
"431261,12.04,22.15,9.5521,348.3,46.3,21.575,1017.324,0,249.1,99.2"
"431262,12.03,22.15,3.7237,7.6,47.55,21.7,1017.075,0,248.8,118.8"
"431263,12.03,22.16,7.6093,11,47.925,21.9,1017.075,0,249.1,121.9"
"431264,12.01,22.17,8.9045,9.5,46.775,21.75,1017.075,0,249.1,120.4"
"431265,12.02,22.18,8.9045,72.9,47.325,21.7,1017.075,0,249.5,183.4"
"431266,12.03,22.2,5.9903,29.2,46.8,21.675,1017.075,0,250.2,139"
"431267,12.03,22.21,10.8473,27.9,46.525,21.55,1017.075,0,249.5,138.4"
"431268,12.02,22.22,6.6379,26.1,47.275,21.4,1017.075,0,249.1,137"
"431269,12.01,22.23,4.0475,51.7,47.875,21.575,1017.075,0,250.7,161"
"431270,12.01,22.24,3.7237,38.9,48.725,21.675,1017.075,0,249.5,149.4"
"431271,12.03,22.25,7.6093,24.1,47.4,21.6,1017.075,0,250,134.1"
"431272,12.03,22.25,8.9045,25.7,48.6,21.475,1017.075,0,249.7,136"
"431273,12.02,22.26,8.2569,62.5,48.425,21.6,1017.075,0,250,172.5"
"431274,12.02,22.27,9.2283,47.4,47.7,21.5,1017.075,0,249.8,157.6"
"431275,12.02,22.27,11.4949,47.5,46.5,21.475,1017.075,0,249.3,158.2"
"431276,12.02,22.28,5.0189,41.5,49.175,21.425,1016.951,0,249.5,152"
"431277,12.02,22.28,8.9045,4.6,48.175,21.725,1017.075,0,249.1,115.5"
